cell	x	y	z	host
0	2000.000000	500.000000	125.000000	0
1	2000.000000	250.000000	125.000000	0
2	2000.000000	750.000000	125.000000	0
3	1000.000000	250.000000	125.000000	0
4	1000.000000	750.000000	125.000000	0
5	3000.000000	250.000000	125.000000	0
6	3000.000000	750.000000	125.000000	0
7	666.500000	166.500000	125.000000	0
8	666.500000	499.500000	125.000000	0
9	666.500000	832.500000	125.000000	0
10	1999.500000	166.500000	125.000000	0
11	1999.500000	499.500000	125.000000	0
12	1999.500000	832.500000	125.000000	0
13	3332.500000	166.500000	125.000000	0
14	3332.500000	499.500000	125.000000	0
15	3332.500000	832.500000	125.000000	0
16	1000.000000	250.000000	400.000000	0
17	1000.000000	750.000000	400.000000	0
18	3000.000000	250.000000	400.000000	0
19	3000.000000	750.000000	400.000000	0
20	1000.000000	500.000000	50.000000	0
21	3000.000000	500.000000	50.000000	0
22	68.500000	45.000000	125.000000	0
23	68.500000	135.000000	125.000000	0
24	68.500000	225.000000	125.000000	0
25	68.500000	315.000000	125.000000	0
26	68.500000	405.000000	125.000000	0
27	68.500000	495.000000	125.000000	0
28	68.500000	585.000000	125.000000	0
29	68.500000	675.000000	125.000000	0
30	68.500000	765.000000	125.000000	0
31	68.500000	855.000000	125.000000	0
32	68.500000	945.000000	125.000000	0
33	205.500000	45.000000	125.000000	0
34	205.500000	135.000000	125.000000	0
35	205.500000	225.000000	125.000000	0
36	205.500000	315.000000	125.000000	0
37	205.500000	405.000000	125.000000	0
38	205.500000	495.000000	125.000000	0
39	205.500000	585.000000	125.000000	0
40	205.500000	675.000000	125.000000	0
41	205.500000	765.000000	125.000000	0
42	205.500000	855.000000	125.000000	0
43	205.500000	945.000000	125.000000	0
44	342.500000	45.000000	125.000000	0
45	342.500000	135.000000	125.000000	0
46	342.500000	225.000000	125.000000	0
47	342.500000	315.000000	125.000000	0
48	342.500000	405.000000	125.000000	0
49	342.500000	495.000000	125.000000	0
50	342.500000	585.000000	125.000000	0
51	342.500000	675.000000	125.000000	0
52	342.500000	765.000000	125.000000	0
53	342.500000	855.000000	125.000000	0
54	342.500000	945.000000	125.000000	0
55	479.500000	45.000000	125.000000	0
56	479.500000	135.000000	125.000000	0
57	479.500000	225.000000	125.000000	0
58	479.500000	315.000000	125.000000	0
59	479.500000	405.000000	125.000000	0
60	479.500000	495.000000	125.000000	0
61	479.500000	585.000000	125.000000	0
62	479.500000	675.000000	125.000000	0
63	479.500000	765.000000	125.000000	0
64	479.500000	855.000000	125.000000	0
65	479.500000	945.000000	125.000000	0
66	616.500000	45.000000	125.000000	0
67	616.500000	135.000000	125.000000	0
68	616.500000	225.000000	125.000000	0
69	616.500000	315.000000	125.000000	0
70	616.500000	405.000000	125.000000	0
71	616.500000	495.000000	125.000000	0
72	616.500000	585.000000	125.000000	0
73	616.500000	675.000000	125.000000	0
74	616.500000	765.000000	125.000000	0
