cell	x	y	z	host
0	2000.000000	500.000000	125.000000	0
4	1000.000000	750.000000	125.000000	0
8	666.500000	499.500000	125.000000	0
12	1999.500000	832.500000	125.000000	0
16	1000.000000	250.000000	400.000000	0
20	1000.000000	500.000000	50.000000	0
24	68.500000	225.000000	125.000000	0
28	68.500000	585.000000	125.000000	0
32	68.500000	945.000000	125.000000	0
36	205.500000	315.000000	125.000000	0
40	205.500000	675.000000	125.000000	0
44	342.500000	45.000000	125.000000	0
48	342.500000	405.000000	125.000000	0
52	342.500000	765.000000	125.000000	0
56	479.500000	135.000000	125.000000	0
60	479.500000	495.000000	125.000000	0
64	479.500000	855.000000	125.000000	0
68	616.500000	225.000000	125.000000	0
72	616.500000	585.000000	125.000000	0
76	616.500000	945.000000	125.000000	0
80	753.500000	315.000000	125.000000	0
84	753.500000	675.000000	125.000000	0
88	890.500000	45.000000	125.000000	0
92	890.500000	405.000000	125.000000	0
96	890.500000	765.000000	125.000000	0
100	1027.500000	135.000000	125.000000	0
104	1027.500000	495.000000	125.000000	0
108	1027.500000	855.000000	125.000000	0
112	1164.500000	225.000000	125.000000	0
116	1164.500000	585.000000	125.000000	0
120	1164.500000	945.000000	125.000000	0
124	1301.500000	315.000000	125.000000	0
128	1301.500000	675.000000	125.000000	0
132	1438.500000	45.000000	125.000000	0
136	1438.500000	405.000000	125.000000	0
140	1438.500000	765.000000	125.000000	0
144	1575.500000	135.000000	125.000000	0
148	1575.500000	495.000000	125.000000	0
152	1575.500000	855.000000	125.000000	0
156	1712.500000	225.000000	125.000000	0
160	1712.500000	585.000000	125.000000	0
164	1712.500000	945.000000	125.000000	0
168	1849.500000	315.000000	125.000000	0
172	1849.500000	675.000000	125.000000	0
176	1986.500000	45.000000	125.000000	0
180	1986.500000	405.000000	125.000000	0
184	1986.500000	765.000000	125.000000	0
188	2123.500000	135.000000	125.000000	0
192	2123.500000	495.000000	125.000000	0
196	2123.500000	855.000000	125.000000	0
200	2260.500000	225.000000	125.000000	0
204	2260.500000	585.000000	125.000000	0
208	2260.500000	945.000000	125.000000	0
212	2397.500000	315.000000	125.000000	0
216	2397.500000	675.000000	125.000000	0
220	2534.500000	45.000000	125.000000	0
224	2534.500000	405.000000	125.000000	0
228	2534.500000	765.000000	125.000000	0
232	2671.500000	135.000000	125.000000	0
236	2671.500000	495.000000	125.000000	0
240	2671.500000	855.000000	125.000000	0
244	2808.500000	225.000000	125.000000	0
248	2808.500000	585.000000	125.000000	0
252	2808.500000	945.000000	125.000000	0
256	2945.500000	315.000000	125.000000	0
260	2945.500000	675.000000	125.000000	0
264	3082.500000	45.000000	125.000000	0
268	3082.500000	405.000000	125.000000	0
272	3082.500000	765.000000	125.000000	0
276	3219.500000	135.000000	125.000000	0
280	3219.500000	495.000000	125.000000	0
284	3219.500000	855.000000	125.000000	0
288	3356.500000	225.000000	125.000000	0
292	3356.500000	585.000000	125.000000	0
296	3356.500000	945.000000	125.000000	0
300	3493.500000	315.000000	125.000000	0
304	3493.500000	675.000000	125.000000	0
308	3630.500000	45.000000	125.000000	0
312	3630.500000	405.000000	125.000000	0
316	3630.500000	765.000000	125.000000	0
320	3767.500000	135.000000	125.000000	0
324	3767.500000	495.000000	125.000000	0
328	3767.500000	855.000000	125.000000	0
332	3904.500000	225.000000	125.000000	0
336	1000.000000	832.500000	125.000000	0
340	2000.000000	500.000000	250.000000	0
344	57.000000	581.000000	250.000000	0
348	171.000000	249.000000	250.000000	0
352	171.000000	913.000000	250.000000	0
356	285.000000	581.000000	250.000000	0
360	399.000000	249.000000	250.000000	0
364	399.000000	913.000000	250.000000	0
368	513.000000	581.000000	250.000000	0
372	627.000000	249.000000	250.000000	0
376	627.000000	913.000000	250.000000	0
380	741.000000	581.000000	250.000000	0
384	855.000000	249.000000	250.000000	0
388	855.000000	913.000000	250.000000	0
392	969.000000	581.000000	250.000000	0
396	1083.000000	249.000000	250.000000	0
400	1083.000000	913.000000	250.000000	0
404	1197.000000	581.000000	250.000000	0
408	1311.000000	249.000000	250.000000	0
412	1311.000000	913.000000	250.000000	0
416	1425.000000	581.000000	250.000000	0
420	1539.000000	249.000000	250.000000	0
424	1539.000000	913.000000	250.000000	0
428	1653.000000	581.000000	250.000000	0
432	1767.000000	249.000000	250.000000	0
436	1767.000000	913.000000	250.000000	0
440	1881.000000	581.000000	250.000000	0
444	1995.000000	249.000000	250.000000	0
448	1995.000000	913.000000	250.000000	0
452	2109.000000	581.000000	250.000000	0
456	2223.000000	249.000000	250.000000	0
460	2223.000000	913.000000	250.000000	0
464	2337.000000	581.000000	250.000000	0
468	2451.000000	249.000000	250.000000	0
472	2451.000000	913.000000	250.000000	0
476	2565.000000	581.000000	250.000000	0
480	2679.000000	249.000000	250.000000	0
484	2679.000000	913.000000	250.000000	0
488	2793.000000	581.000000	250.000000	0
492	2907.000000	249.000000	250.000000	0
496	2907.000000	913.000000	250.000000	0
500	3021.000000	581.000000	250.000000	0
504	3135.000000	249.000000	250.000000	0
508	3135.000000	913.000000	250.000000	0
512	3249.000000	581.000000	250.000000	0
516	3363.000000	249.000000	250.000000	0
520	3363.000000	913.000000	250.000000	0
524	3477.000000	581.000000	250.000000	0
528	3591.000000	249.000000	250.000000	0
532	3591.000000	913.000000	250.000000	0
536	3705.000000	581.000000	250.000000	0
540	3819.000000	249.000000	250.000000	0
544	3819.000000	913.000000	250.000000	0
548	62.500000	312.500000	400.000000	0
552	62.500000	812.500000	400.000000	0
556	187.500000	312.500000	400.000000	0
560	187.500000	812.500000	400.000000	0
564	312.500000	312.500000	400.000000	0
568	312.500000	812.500000	400.000000	0
572	437.500000	312.500000	400.000000	0
576	437.500000	812.500000	400.000000	0
580	562.500000	312.500000	400.000000	0
584	562.500000	812.500000	400.000000	0
588	687.500000	312.500000	400.000000	0
592	687.500000	812.500000	400.000000	0
596	812.500000	312.500000	400.000000	0
600	812.500000	812.500000	400.000000	0
604	937.500000	312.500000	400.000000	0
608	937.500000	812.500000	400.000000	0
612	1062.500000	312.500000	400.000000	0
616	1062.500000	812.500000	400.000000	0
620	1187.500000	312.500000	400.000000	0
624	1187.500000	812.500000	400.000000	0
628	1312.500000	312.500000	400.000000	0
632	1312.500000	812.500000	400.000000	0
636	1437.500000	312.500000	400.000000	0
640	1437.500000	812.500000	400.000000	0
644	1562.500000	312.500000	400.000000	0
648	1562.500000	812.500000	400.000000	0
652	1687.500000	312.500000	400.000000	0
656	1687.500000	812.500000	400.000000	0
660	1812.500000	312.500000	400.000000	0
664	1812.500000	812.500000	400.000000	0
668	1937.500000	312.500000	400.000000	0
672	1937.500000	812.500000	400.000000	0
676	2062.500000	312.500000	400.000000	0
680	2062.500000	812.500000	400.000000	0
684	2187.500000	312.500000	400.000000	0
688	2187.500000	812.500000	400.000000	0
692	2312.500000	312.500000	400.000000	0
696	2312.500000	812.500000	400.000000	0
700	2437.500000	312.500000	400.000000	0
704	2437.500000	812.500000	400.000000	0
708	2562.500000	312.500000	400.000000	0
712	2562.500000	812.500000	400.000000	0
716	2687.500000	312.500000	400.000000	0
720	2687.500000	812.500000	400.000000	0
724	2812.500000	312.500000	400.000000	0
728	2812.500000	812.500000	400.000000	0
732	2937.500000	312.500000	400.000000	0
736	2937.500000	812.500000	400.000000	0
740	3062.500000	312.500000	400.000000	0
744	3062.500000	812.500000	400.000000	0
748	3187.500000	312.500000	400.000000	0
752	3187.500000	812.500000	400.000000	0
756	3312.500000	312.500000	400.000000	0
760	3312.500000	812.500000	400.000000	0
764	3437.500000	312.500000	400.000000	0
768	3437.500000	812.500000	400.000000	0
772	3562.500000	312.500000	400.000000	0
776	3562.500000	812.500000	400.000000	0
780	3687.500000	312.500000	400.000000	0
784	3687.500000	812.500000	400.000000	0
788	3812.500000	312.500000	400.000000	0
792	3812.500000	812.500000	400.000000	0
1	2000.000000	250.000000	125.000000	1
5	3000.000000	250.000000	125.000000	1
9	666.500000	832.500000	125.000000	1
13	3332.500000	166.500000	125.000000	1
17	1000.000000	750.000000	400.000000	1
21	3000.000000	500.000000	50.000000	1
25	68.500000	315.000000	125.000000	1
29	68.500000	675.000000	125.000000	1
33	205.500000	45.000000	125.000000	1
37	205.500000	405.000000	125.000000	1
41	205.500000	765.000000	125.000000	1
45	342.500000	135.000000	125.000000	1
49	342.500000	495.000000	125.000000	1
53	342.500000	855.000000	125.000000	1
57	479.500000	225.000000	125.000000	1
61	479.500000	585.000000	125.000000	1
65	479.500000	945.000000	125.000000	1
69	616.500000	315.000000	125.000000	1
73	616.500000	675.000000	125.000000	1
77	753.500000	45.000000	125.000000	1
81	753.500000	405.000000	125.000000	1
