host	pretype	posttype	numCons
0	0	0	0
0	0	1	0
0	0	2	0
0	0	3	0
0	0	4	0
0	0	5	0
0	0	6	672
0	0	7	0
0	0	8	0
0	0	9	0
0	1	0	4
0	1	1	12
0	1	2	12
0	1	3	16
0	1	4	0
0	1	5	8
0	1	6	900
0	1	7	16
0	1	8	4
0	1	9	0
0	2	0	9
0	2	1	15
0	2	2	20
0	2	3	41
0	2	4	0
0	2	5	10
0	2	6	1523
0	2	7	23
0	2	8	5
0	2	9	0
0	3	0	24
0	3	1	27
0	3	2	42
0	3	3	118
0	3	4	55
0	3	5	21
0	3	6	3780
0	3	7	58
0	3	8	14
0	3	9	0
0	4	0	0
0	4	1	0
0	4	2	0
0	4	3	0
0	4	4	16
0	4	5	0
0	4	6	1439
0	4	7	0
0	4	8	0
0	4	9	0
0	5	0	3
0	5	1	9
0	5	2	9
0	5	3	0
0	5	4	6
0	5	5	6
0	5	6	675
0	5	7	12
0	5	8	3
0	5	9	0
0	6	0	226
0	6	1	739
0	6	2	0
0	6	3	84
0	6	4	0
0	6	5	720
0	6	6	49290
0	6	7	1398
0	6	8	90
0	6	9	0
0	7	0	12
0	7	1	18
0	7	2	24
0	7	3	51
0	7	4	0
0	7	5	0
0	7	6	2270
0	7	7	42
0	7	8	6
0	7	9	0
0	8	0	2
0	8	1	1
0	8	2	2
0	8	3	7
0	8	4	0
0	8	5	1
0	8	6	180
0	8	7	3
0	8	8	1
0	8	9	0
0	9	0	468
0	9	1	702
0	9	2	936
0	9	3	2574
0	9	4	0
0	9	5	0
0	9	6	84240
0	9	7	1404
0	9	8	234
0	9	9	0
1	0	0	0
1	0	1	0
1	0	2	0
1	0	3	0
1	0	4	0
1	0	5	0
1	0	6	671
1	0	7	0
1	0	8	0
1	0	9	0
1	1	0	4
1	1	1	12
1	1	2	8
1	1	3	16
1	1	4	0
1	1	5	4
1	1	6	900
1	1	7	12
1	1	8	4
1	1	9	0
1	2	0	10
1	2	1	15
1	2	2	20
1	2	3	44
1	2	4	0
1	2	5	5
1	2	6	1533
1	2	7	24
1	2	8	5
1	2	9	0
1	3	0	28
1	3	1	28
1	3	2	49
1	3	3	121
1	3	4	51
1	3	5	14
1	3	6	3780
1	3	7	66
1	3	8	14
1	3	9	0
1	4	0	0
1	4	1	0
1	4	2	0
1	4	3	0
1	4	4	16
1	4	5	0
1	4	6	1440
1	4	7	0
1	4	8	0
1	4	9	0
1	5	0	3
1	5	1	9
1	5	2	6
1	5	3	0
1	5	4	6
1	5	5	3
1	5	6	675
1	5	7	9
1	5	8	3
1	5	9	0
1	6	0	234
1	6	1	736
1	6	2	0
1	6	3	79
1	6	4	0
1	6	5	360
1	6	6	49209
1	6	7	1691
1	6	8	94
1	6	9	0
1	7	0	12
1	7	1	18
1	7	2	24
1	7	3	48
1	7	4	0
1	7	5	0
1	7	6	2271
1	7	7	54
1	7	8	6
1	7	9	0
1	8	0	2
1	8	1	1
1	8	2	3
1	8	3	7
1	8	4	0
1	8	5	1
1	8	6	180
1	8	7	3
1	8	8	1
1	8	9	0
1	9	0	468
1	9	1	702
1	9	2	936
1	9	3	2574
1	9	4	0
1	9	5	0
1	9	6	84240
1	9	7	1638
1	9	8	234
1	9	9	0
2	0	0	0
2	0	1	0
2	0	2	0
2	0	3	0
2	0	4	0
2	0	5	0
2	0	6	667
2	0	7	0
2	0	8	0
2	0	9	0
2	1	0	4
2	1	1	12
2	1	2	8
2	1	3	16
2	1	4	0
2	1	5	8
2	1	6	898
2	1	7	12
2	1	8	0
2	1	9	0
2	2	0	10
2	2	1	15
2	2	2	20
2	2	3	35
2	2	4	0
2	2	5	10
2	2	6	1532
2	2	7	23
2	2	8	5
2	2	9	0
2	3	0	27
2	3	1	24
2	3	2	56
2	3	3	112
2	3	4	25
2	3	5	21
2	3	6	3780
2	3	7	66
2	3	8	14
2	3	9	0
2	4	0	0
2	4	1	0
2	4	2	0
2	4	3	0
2	4	4	16
2	4	5	0
2	4	6	1436
2	4	7	0
2	4	8	0
2	4	9	0
2	5	0	3
2	5	1	9
2	5	2	6
2	5	3	0
2	5	4	9
2	5	5	6
2	5	6	675
2	5	7	9
2	5	8	0
2	5	9	0
2	6	0	232
2	6	1	621
2	6	2	0
2	6	3	62
2	6	4	0
2	6	5	720
2	6	6	49555
2	6	7	1696
2	6	8	102
2	6	9	0
2	7	0	12
2	7	1	18
2	7	2	24
2	7	3	46
2	7	4	0
2	7	5	0
2	7	6	2261
2	7	7	54
2	7	8	6
2	7	9	0
2	8	0	2
2	8	1	1
2	8	2	4
2	8	3	7
2	8	4	0
2	8	5	1
2	8	6	180
2	8	7	3
2	8	8	1
2	8	9	0
2	9	0	468
2	9	1	702
2	9	2	936
2	9	3	2340
2	9	4	0
2	9	5	0
2	9	6	84240
2	9	7	1638
2	9	8	234
2	9	9	0
3	0	0	0
3	0	1	0
3	0	2	0
3	0	3	0
3	0	4	0
3	0	5	0
3	0	6	670
3	0	7	0
3	0	8	0
3	0	9	0
3	1	0	4
3	1	1	8
3	1	2	12
3	1	3	17
3	1	4	0
3	1	5	8
3	1	6	900
3	1	7	12
3	1	8	0
3	1	9	0
3	2	0	8
3	2	1	9
3	2	2	25
3	2	3	37
3	2	4	0
3	2	5	10
3	2	6	1542
3	2	7	24
3	2	8	0
3	2	9	0
3	3	0	24
3	3	1	18
3	3	2	63
3	3	3	105
3	3	4	28
3	3	5	21
3	3	6	3780
3	3	7	64
3	3	8	0
3	3	9	0
3	4	0	0
3	4	1	0
3	4	2	0
3	4	3	0
3	4	4	16
3	4	5	0
3	4	6	1435
3	4	7	0
3	4	8	0
3	4	9	0
3	5	0	3
3	5	1	6
3	5	2	9
3	5	3	0
3	5	4	9
3	5	5	6
3	5	6	675
3	5	7	9
3	5	8	0
3	5	9	0
3	6	0	224
3	6	1	389
3	6	2	0
3	6	3	72
3	6	4	0
3	6	5	720
3	6	6	49561
3	6	7	1708
3	6	8	0
3	6	9	0
3	7	0	12
3	7	1	12
3	7	2	30
3	7	3	44
3	7	4	0
3	7	5	0
3	7	6	2275
3	7	7	54
3	7	8	0
3	7	9	0
3	8	0	2
3	8	1	1
3	8	2	4
3	8	3	6
3	8	4	0
3	8	5	1
3	8	6	180
3	8	7	3
3	8	8	0
3	8	9	0
3	9	0	468
3	9	1	468
3	9	2	1170
3	9	3	2340
3	9	4	0
3	9	5	0
3	9	6	84240
3	9	7	1638
3	9	8	0
3	9	9	0
4	0	0	0
4	0	1	0
4	0	2	0
4	0	3	0
4	0	4	0
4	0	5	0
4	0	6	673
4	0	7	0
4	0	8	0
4	0	9	0
4	1	0	4
4	1	1	8
4	1	2	12
4	1	3	15
4	1	4	0
4	1	5	8
4	1	6	900
4	1	7	12
4	1	8	0
4	1	9	0
4	2	0	9
4	2	1	10
4	2	2	25
4	2	3	35
4	2	4	0
4	2	5	10
4	2	6	1556
4	2	7	24
4	2	8	0
4	2	9	0
4	3	0	25
4	3	1	20
4	3	2	56
4	3	3	110
4	3	4	28
4	3	5	21
4	3	6	3779
4	3	7	66
4	3	8	0
4	3	9	0
4	4	0	0
4	4	1	0
4	4	2	0
4	4	3	0
4	4	4	16
4	4	5	0
4	4	6	1440
4	4	7	0
4	4	8	0
4	4	9	0
4	5	0	3
4	5	1	6
4	5	2	9
4	5	3	0
4	5	4	9
4	5	5	6
4	5	6	675
4	5	7	9
4	5	8	0
4	5	9	0
4	6	0	270
4	6	1	456
4	6	2	0
4	6	3	74
4	6	4	0
4	6	5	720
4	6	6	49812
4	6	7	1693
4	6	8	0
4	6	9	0
4	7	0	12
4	7	1	12
4	7	2	30
4	7	3	44
4	7	4	0
4	7	5	0
4	7	6	2310
4	7	7	54
4	7	8	0
4	7	9	0
4	8	0	2
4	8	1	1
4	8	2	3
4	8	3	7
4	8	4	0
4	8	5	1
4	8	6	180
4	8	7	3
4	8	8	0
4	8	9	0
4	9	0	468
4	9	1	468
4	9	2	1170
4	9	3	2340
4	9	4	0
4	9	5	0
4	9	6	84240
4	9	7	1638
4	9	8	0
4	9	9	0
5	0	0	0
5	0	1	0
5	0	2	0
5	0	3	0
5	0	4	0
5	0	5	0
5	0	6	673
5	0	7	0
5	0	8	0
5	0	9	0
5	1	0	4
5	1	1	8
5	1	2	16
5	1	3	14
5	1	4	0
5	1	5	8
5	1	6	900
5	1	7	20
5	1	8	0
5	1	9	0
5	2	0	10
5	2	1	10
5	2	2	25
5	2	3	36
5	2	4	0
5	2	5	10
5	2	6	1561
5	2	7	28
5	2	8	0
5	2	9	0
5	3	0	28
5	3	1	20
5	3	2	49
5	3	3	111
5	3	4	26
5	3	5	21
5	3	6	3779
5	3	7	66
5	3	8	0
5	3	9	0
5	4	0	0
5	4	1	0
5	4	2	0
5	4	3	0
5	4	4	16
5	4	5	0
5	4	6	1440
5	4	7	0
5	4	8	0
5	4	9	0
5	5	0	3
5	5	1	6
5	5	2	12
5	5	3	0
5	5	4	9
5	5	5	6
5	5	6	675
5	5	7	15
5	5	8	0
5	5	9	0
5	6	0	290
5	6	1	452
5	6	2	0
5	6	3	63
5	6	4	0
5	6	5	720
5	6	6	49696
5	6	7	1691
5	6	8	0
5	6	9	0
5	7	0	12
5	7	1	12
5	7	2	30
5	7	3	43
5	7	4	0
5	7	5	0
5	7	6	2321
5	7	7	48
5	7	8	0
5	7	9	0
5	8	0	2
5	8	1	1
5	8	2	2
5	8	3	7
5	8	4	0
5	8	5	1
5	8	6	180
5	8	7	3
5	8	8	0
5	8	9	0
5	9	0	468
5	9	1	468
5	9	2	1170
5	9	3	2340
5	9	4	0
5	9	5	0
5	9	6	84240
5	9	7	1638
5	9	8	0
5	9	9	0
6	0	0	0
6	0	1	0
6	0	2	0
6	0	3	0
6	0	4	0
6	0	5	0
6	0	6	671
6	0	7	0
6	0	8	0
6	0	9	0
6	1	0	4
6	1	1	8
6	1	2	16
6	1	3	16
6	1	4	0
6	1	5	8
6	1	6	900
6	1	7	20
6	1	8	0
6	1	9	0
6	2	0	10
6	2	1	9
6	2	2	20
6	2	3	41
6	2	4	0
6	2	5	10
6	2	6	1553
6	2	7	29
6	2	8	0
6	2	9	0
6	3	0	27
6	3	1	18
6	3	2	35
6	3	3	117
6	3	4	52
6	3	5	14
6	3	6	3780
6	3	7	65
6	3	8	0
6	3	9	0
6	4	0	0
6	4	1	0
6	4	2	0
6	4	3	0
6	4	4	16
6	4	5	0
6	4	6	1436
6	4	7	0
6	4	8	0
6	4	9	0
6	5	0	3
6	5	1	6
6	5	2	12
6	5	3	0
6	5	4	6
6	5	5	6
6	5	6	675
6	5	7	15
6	5	8	0
6	5	9	0
6	6	0	290
6	6	1	380
6	6	2	0
6	6	3	85
6	6	4	0
6	6	5	720
6	6	6	49488
6	6	7	1689
6	6	8	0
6	6	9	0
6	7	0	12
6	7	1	12
6	7	2	24
6	7	3	50
6	7	4	0
6	7	5	0
6	7	6	2296
6	7	7	48
6	7	8	0
6	7	9	0
6	8	0	2
6	8	1	1
6	8	2	1
6	8	3	7
6	8	4	0
6	8	5	0
6	8	6	180
6	8	7	3
6	8	8	0
6	8	9	0
6	9	0	468
6	9	1	468
6	9	2	936
6	9	3	2574
6	9	4	0
6	9	5	0
6	9	6	84240
6	9	7	1638
6	9	8	0
6	9	9	0
7	0	0	0
7	0	1	0
7	0	2	0
7	0	3	0
7	0	4	0
7	0	5	0
7	0	6	668
7	0	7	0
7	0	8	0
7	0	9	0
7	1	0	4
7	1	1	12
7	1	2	16
7	1	3	19
7	1	4	0
7	1	5	8
7	1	6	898
7	1	7	16
7	1	8	0
7	1	9	0
7	2	0	4
7	2	1	15
7	2	2	20
7	2	3	46
7	2	4	0
7	2	5	10
7	2	6	1535
7	2	7	24
7	2	8	5
7	2	9	0
7	3	0	12
7	3	1	25
7	3	2	35
7	3	3	126
7	3	4	56
7	3	5	14
7	3	6	3780
7	3	7	59
7	3	8	14
7	3	9	0
7	4	0	0
7	4	1	0
7	4	2	0
7	4	3	0
7	4	4	16
7	4	5	0
7	4	6	1435
7	4	7	0
7	4	8	0
7	4	9	0
7	5	0	3
7	5	1	9
7	5	2	12
7	5	3	0
7	5	4	6
7	5	5	6
7	5	6	675
7	5	7	12
7	5	8	0
7	5	9	0
7	6	0	117
7	6	1	627
7	6	2	0
7	6	3	81
7	6	4	0
7	6	5	720
7	6	6	49447
7	6	7	1401
7	6	8	63
7	6	9	0
7	7	0	6
7	7	1	18
7	7	2	24
7	7	3	45
7	7	4	0
7	7	5	0
7	7	6	2277
7	7	7	42
7	7	8	6
7	7	9	0
7	8	0	1
7	8	1	1
7	8	2	1
7	8	3	8
7	8	4	0
7	8	5	0
7	8	6	180
7	8	7	3
7	8	8	1
7	8	9	0
7	9	0	234
7	9	1	702
7	9	2	936
7	9	3	2574
7	9	4	0
7	9	5	0
7	9	6	84240
7	9	7	1404
7	9	8	234
7	9	9	0
