cell	x	y	z	host
0	500.000000	125.000000	125.000000	0
8	2500.000000	125.000000	125.000000	0
16	333.000000	375.000000	125.000000	0
24	1665.000000	375.000000	125.000000	0
32	2997.000000	375.000000	125.000000	0
40	750.000000	100.000000	125.000000	0
48	1250.000000	700.000000	125.000000	0
56	2250.000000	300.000000	125.000000	0
64	2750.000000	900.000000	125.000000	0
72	153.500000	355.000000	125.000000	0
80	460.500000	497.000000	125.000000	0
88	767.500000	639.000000	125.000000	0
96	1074.500000	781.000000	125.000000	0
104	1381.500000	923.000000	125.000000	0
112	1995.500000	71.000000	125.000000	0
120	2302.500000	213.000000	125.000000	0
128	2609.500000	355.000000	125.000000	0
136	2916.500000	497.000000	125.000000	0
144	3223.500000	639.000000	125.000000	0
152	3530.500000	781.000000	125.000000	0
160	666.000000	625.000000	400.000000	0
168	1554.000000	625.000000	400.000000	0
176	2442.000000	625.000000	400.000000	0
184	3330.000000	625.000000	400.000000	0
192	1665.000000	166.500000	50.000000	0
200	2997.000000	832.500000	50.000000	0
208	15.000000	307.500000	125.000000	0
216	15.000000	635.500000	125.000000	0
224	15.000000	963.500000	125.000000	0
232	45.000000	307.500000	125.000000	0
240	45.000000	635.500000	125.000000	0
248	45.000000	963.500000	125.000000	0
256	75.000000	307.500000	125.000000	0
264	75.000000	635.500000	125.000000	0
272	75.000000	963.500000	125.000000	0
280	105.000000	307.500000	125.000000	0
288	105.000000	635.500000	125.000000	0
296	105.000000	963.500000	125.000000	0
304	135.000000	307.500000	125.000000	0
312	135.000000	635.500000	125.000000	0
320	135.000000	963.500000	125.000000	0
328	165.000000	307.500000	125.000000	0
336	165.000000	635.500000	125.000000	0
344	165.000000	963.500000	125.000000	0
352	195.000000	307.500000	125.000000	0
360	195.000000	635.500000	125.000000	0
368	195.000000	963.500000	125.000000	0
376	225.000000	307.500000	125.000000	0
384	225.000000	635.500000	125.000000	0
392	225.000000	963.500000	125.000000	0
400	255.000000	307.500000	125.000000	0
408	255.000000	635.500000	125.000000	0
416	255.000000	963.500000	125.000000	0
424	285.000000	307.500000	125.000000	0
432	285.000000	635.500000	125.000000	0
440	285.000000	963.500000	125.000000	0
448	315.000000	307.500000	125.000000	0
456	315.000000	635.500000	125.000000	0
464	315.000000	963.500000	125.000000	0
472	345.000000	307.500000	125.000000	0
480	345.000000	635.500000	125.000000	0
488	345.000000	963.500000	125.000000	0
496	375.000000	307.500000	125.000000	0
504	375.000000	635.500000	125.000000	0
512	375.000000	963.500000	125.000000	0
520	405.000000	307.500000	125.000000	0
528	405.000000	635.500000	125.000000	0
536	405.000000	963.500000	125.000000	0
544	435.000000	307.500000	125.000000	0
552	435.000000	635.500000	125.000000	0
