t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-64.8794
8.3	-64.5202
8.4	-63.9741
8.5	-63.2562
8.6	-62.3954
8.7	-61.414
8.8	-60.3348
8.9	-59.1775
9	-57.9593
9.1	-56.6944
9.2	-55.3919
9.3	-54.0549
9.4	-52.6752
9.5	-51.2236
9.6	-49.6203
9.7	-47.6141
9.8	-44.1449
9.9	-35.4544
10	-13.6797
10.1	37.1533
10.2	54.926
10.3	49.2129
10.4	37.5832
10.5	30.9753
10.6	16.6841
10.7	9.0387
10.8	-1.8342
10.9	-8.44203
11	-16.2557
11.1	-23.2345
11.2	-32.3549
11.3	-43.0547
11.4	-53.1223
11.5	-59.2986
11.6	-62.7122
11.7	-64.4194
11.8	-65.229
11.9	-65.4457
12	-65.3247
12.1	-64.9375
12.2	-64.3832
12.3	-63.6839
12.4	-62.8654
12.5	-61.9831
12.6	-61.0667
12.7	-60.1307
12.8	-59.1936
12.9	-58.2597
13	-57.3383
13.1	-56.4323
13.2	-55.5429
13.3	-54.6682
13.4	-53.7744
13.5	-52.817
13.6	-51.7998
13.7	-50.7329
13.8	-49.6005
13.9	-48.3386
14	-46.7567
14.1	-44.4526
14.2	-40.6282
14.3	-34.2507
14.4	-23.5425
14.5	-2.1508
14.6	31.6793
14.7	38.8704
14.8	32.1146
14.9	17.5949
15	6.69107
15.1	-4.67429
15.2	-12.6417
15.3	-20.9068
15.4	-28.9211
15.5	-38.5096
15.6	-48.1754
15.7	-55.7707
15.8	-60.3924
15.9	-63.1405
16	-64.6759
16.1	-65.5303
16.2	-65.8998
16.3	-65.9956
16.4	-65.8616
16.5	-65.5917
16.6	-65.1971
16.7	-64.7299
16.8	-64.1953
16.9	-63.6242
17	-63.0198
17.1	-62.4008
17.2	-61.7695
17.3	-61.1371
17.4	-60.5101
17.5	-59.9054
17.6	-59.3259
17.7	-58.7727
17.8	-58.2433
17.9	-57.7367
18	-57.2507
18.1	-56.7843
18.2	-56.3358
18.3	-55.9044
18.4	-55.4892
18.5	-55.0902
18.6	-54.7071
18.7	-54.3395
18.8	-53.9865
18.9	-53.647
19	-53.3201
19.1	-53.0048
19.2	-52.7001
19.3	-52.405
19.4	-52.1184
19.5	-51.8392
19.6	-51.5666
19.7	-51.2993
19.8	-51.0361
19.9	-50.7758
