t	v
0	-67.0184
0.1	-67.0184
0.2	-67.0184
0.3	-67.0184
0.4	-67.0184
0.5	-67.0184
0.6	-67.0184
0.7	-67.0184
0.8	-67.0184
0.9	-67.0184
1	-67.0184
1.1	-67.0184
1.2	-67.0184
1.3	-67.0184
1.4	-67.0184
1.5	-67.0184
1.6	-67.0184
1.7	-67.0184
1.8	-67.0184
1.9	-67.0184
2	-67.0184
2.1	-67.0184
2.2	-67.0184
2.3	-67.0184
2.4	-67.0184
2.5	-67.0184
2.6	-67.0184
2.7	-67.0184
2.8	-67.0184
2.9	-67.0184
3	-67.0184
3.1	-67.0184
3.2	-67.0184
3.3	-67.0184
3.4	-67.0184
3.5	-67.0184
3.6	-67.0184
3.7	-67.0184
3.8	-67.0184
3.9	-67.0184
4	-67.0184
4.1	-67.0184
4.2	-67.0184
4.3	-67.0184
4.4	-67.0184
4.5	-67.0184
4.6	-67.0184
4.7	-67.0184
4.8	-67.0184
4.9	-67.0184
5	-67.0184
5.1	-67.0184
5.2	-67.0184
5.3	-67.0184
5.4	-67.0184
5.5	-67.0184
5.6	-67.0184
5.7	-67.0184
5.8	-67.0184
5.9	-67.0184
6	-67.0184
6.1	-67.0184
6.2	-67.0184
6.3	-67.0184
6.4	-67.0184
6.5	-67.0184
6.6	-67.0184
6.7	-67.0184
6.8	-67.0184
6.9	-67.0184
7	-67.0184
7.1	-67.0184
7.2	-67.0184
7.3	-67.0184
7.4	-67.0184
7.5	-67.0184
7.6	-67.0184
7.7	-67.0184
7.8	-67.0184
7.9	-67.0184
8	-67.0184
8.1	-67.0184
8.2	-66.8535
8.3	-66.4002
8.4	-65.7034
8.5	-64.7854
8.6	-63.6823
8.7	-62.4253
8.8	-61.0448
8.9	-59.5684
9	-58.021
9.1	-56.4249
9.2	-54.799
9.3	-53.1604
9.4	-51.5228
9.5	-49.8979
9.6	-48.2945
9.7	-46.7187
9.8	-45.1734
9.9	-43.658
10	-42.1668
10.1	-40.6875
10.2	-39.1961
10.3	-37.6469
10.4	-35.9412
10.5	-33.827
10.6	-30.6124
10.7	-24.7791
10.8	-14.248
10.9	3.54748
11	29.8304
11.1	44.4426
11.2	40.4802
11.3	28.513
11.4	18.7693
11.5	8.48545
11.6	0.217881
11.7	-9.77853
11.8	-22.3911
11.9	-39.4458
12	-54.4301
12.1	-63.4485
12.2	-67.5554
12.3	-69.7635
12.4	-70.3212
12.5	-70.3261
12.6	-69.7646
12.7	-69.0283
12.8	-68.0609
12.9	-67.0204
13	-65.8768
13.1	-64.513
13.2	-63.3042
13.3	-62.0715
13.4	-57.1623
13.5	-48.103
13.6	-40.818
13.7	-35.7942
13.8	-31.3609
13.9	-26.7397
14	-20.9915
14.1	-13.2833
14.2	-1.43628
14.3	13.2856
14.4	19.0029
14.5	14.2834
14.6	6.10314
14.7	-3.63469
14.8	-15.9675
14.9	-34.2894
15	-51.2349
15.1	-59.4866
15.2	-64.4748
15.3	-66.887
15.4	-68.2267
15.5	-68.7221
15.6	-68.7818
15.7	-68.5019
15.8	-68.0051
15.9	-67.3631
16	-66.6006
16.1	-65.766
16.2	-64.8664
16.3	-63.9403
16.4	-62.9905
16.5	-62.0418
16.6	-61.0948
16.7	-60.1645
16.8	-59.2503
16.9	-58.3611
17	-57.4957
17.1	-56.6591
17.2	-55.85
17.3	-55.1635
17.4	-54.5942
17.5	-54.0535
17.6	-53.5505
17.7	-53.0567
17.8	-52.58
17.9	-52.1107
18	-51.6544
18.1	-51.2075
18.2	-50.7737
18.3	-50.3516
18.4	-49.9454
18.5	-49.556
18.6	-49.1836
18.7	-48.8275
18.8	-48.4876
18.9	-48.1631
19	-47.8536
19.1	-47.5584
19.2	-47.2769
19.3	-47.0083
19.4	-46.7522
19.5	-46.5079
19.6	-46.2747
19.7	-46.0521
19.8	-45.8395
19.9	-45.6364
