t	v
0	-70.6341
0.1	-70.6337
0.2	-70.6334
0.3	-70.6331
0.4	-70.6328
0.5	-70.6324
0.6	-70.6321
0.7	-70.6318
0.8	-70.6315
0.9	-70.6312
1	-70.6308
1.1	-70.6305
1.2	-70.6302
1.3	-70.6299
1.4	-70.6296
1.5	-70.6292
1.6	-70.6289
1.7	-70.6286
1.8	-70.6283
1.9	-70.628
2	-70.6276
2.1	-70.6273
2.2	-70.627
2.3	-70.6267
2.4	-70.6264
2.5	-70.626
2.6	-70.6257
2.7	-70.6254
2.8	-70.6251
2.9	-70.6248
3	-70.6245
3.1	-70.6242
3.2	-70.6238
3.3	-70.6235
3.4	-70.6232
3.5	-70.6229
3.6	-70.6226
3.7	-70.6223
3.8	-70.622
3.9	-70.6216
4	-70.6213
4.1	-70.621
4.2	-70.6207
4.3	-70.6204
4.4	-70.6201
4.5	-70.6198
4.6	-70.6195
4.7	-70.6192
4.8	-70.6188
4.9	-70.6185
5	-70.6182
5.1	-70.6179
5.2	-70.6176
5.3	-70.6173
5.4	-70.617
5.5	-70.6167
5.6	-70.6164
5.7	-70.6161
5.8	-70.6158
5.9	-70.6155
6	-70.6152
6.1	-70.6149
6.2	-70.6145
6.3	-70.6142
6.4	-70.6139
6.5	-70.6136
6.6	-70.6133
6.7	-70.613
6.8	-70.6127
6.9	-70.6124
7	-70.6121
7.1	-70.6118
7.2	-70.6115
7.3	-70.6112
7.4	-70.6109
7.5	-70.6106
7.6	-70.6103
7.7	-70.61
7.8	-70.6097
7.9	-70.6094
8	-70.6091
8.1	-70.6088
8.2	-69.96
8.3	-67.9967
8.4	-64.8757
8.5	-60.8523
8.6	-56.2198
8.7	-51.235
8.8	-45.9823
8.9	-40.1644
9	-32.4937
9.1	-19.384
9.2	4.09688
9.3	21.4448
9.4	26.9341
9.5	27.672
9.6	26.2113
9.7	23.612
9.8	20.4848
9.9	17.0946
10	13.7035
10.1	10.4051
10.2	7.32404
10.3	4.48023
10.4	1.92286
10.5	-0.365208
10.6	-2.3753
10.7	-4.139
10.8	-5.66575
10.9	-6.98893
11	-8.12374
11.1	-9.09971
11.2	-9.93206
11.3	-10.6446
11.4	-11.2506
11.5	-11.7685
11.6	-12.2089
11.7	-12.5857
11.8	-12.9074
11.9	-13.1838
12	-13.4217
12.1	-13.6283
12.2	-13.8083
12.3	-13.9669
12.4	-14.5877
12.5	-15.378
12.6	-16.167
12.7	-16.939
12.8	-17.6211
12.9	-18.2209
13	-18.7125
13.1	-19.5177
13.2	-20.1597
13.3	-20.7655
13.4	-21.1992
13.5	-21.559
13.6	-21.7944
13.7	-21.9804
13.8	-22.0852
13.9	-22.154
14	-22.1699
14.1	-22.1627
14.2	-22.123
14.3	-22.0704
14.4	-21.9995
14.5	-21.9232
14.6	-21.8382
14.7	-21.7529
14.8	-21.665
14.9	-21.5799
15	-21.4962
15.1	-21.4172
15.2	-21.3418
15.3	-21.2722
15.4	-21.2075
15.5	-21.149
15.6	-21.0959
15.7	-21.0489
15.8	-21.0073
15.9	-20.9715
16	-20.9409
16.1	-20.9155
16.2	-20.895
16.3	-20.8791
16.4	-20.8675
16.5	-20.86
16.6	-20.8563
16.7	-20.8561
16.8	-20.8593
16.9	-20.8655
17	-20.8746
17.1	-20.8864
17.2	-20.9006
17.3	-21.1078
17.4	-21.4842
17.5	-21.8637
17.6	-22.2265
17.7	-22.5405
17.8	-22.8082
17.9	-23.023
18	-23.1931
18.1	-23.3196
18.2	-23.4104
18.3	-23.4735
18.4	-23.5216
18.5	-23.5574
18.6	-23.5837
18.7	-23.6017
18.8	-23.6131
18.9	-23.6189
19	-23.6203
19.1	-23.6182
19.2	-23.6135
19.3	-23.6069
19.4	-23.5991
19.5	-23.5906
19.6	-23.5819
19.7	-23.5734
19.8	-23.5655
19.9	-23.5584
