t	v
0	-59.9512
0.1	-59.9512
0.2	-59.9512
0.3	-59.9512
0.4	-59.9512
0.5	-59.9512
0.6	-59.9512
0.7	-59.9512
0.8	-59.9512
0.9	-59.9512
1	-59.9512
1.1	-59.9512
1.2	-59.9512
1.3	-59.9512
1.4	-59.9512
1.5	-59.9512
1.6	-59.9512
1.7	-59.9512
1.8	-59.9512
1.9	-59.9512
2	-59.9512
2.1	-59.9512
2.2	-59.9512
2.3	-59.9512
2.4	-59.9512
2.5	-59.9512
2.6	-59.9512
2.7	-59.9512
2.8	-59.9512
2.9	-59.9512
3	-59.9512
3.1	-59.9512
3.2	-59.9512
3.3	-59.9512
3.4	-59.9512
3.5	-59.9512
3.6	-59.9512
3.7	-59.9512
3.8	-59.9512
3.9	-59.9512
4	-59.9512
4.1	-59.9512
4.2	-59.9512
4.3	-59.9512
4.4	-59.9512
4.5	-59.9512
4.6	-59.9512
4.7	-59.9512
4.8	-59.9512
4.9	-59.9512
5	-59.9512
5.1	-59.9512
5.2	-59.9512
5.3	-59.9512
5.4	-59.9512
5.5	-59.9512
5.6	-59.9512
5.7	-59.9512
5.8	-59.9512
5.9	-59.9512
6	-59.9512
6.1	-59.9512
6.2	-59.9512
6.3	-59.9512
6.4	-59.9512
6.5	-59.9512
6.6	-59.9512
6.7	-59.9512
6.8	-59.9512
6.9	-59.9512
7	-59.9512
7.1	-59.9512
7.2	-59.9512
7.3	-59.9512
7.4	-59.9512
7.5	-59.9512
7.6	-59.9512
7.7	-59.9512
7.8	-59.9512
7.9	-59.9512
8	-59.9512
8.1	-59.9512
8.2	-59.5995
8.3	-58.8602
8.4	-57.8624
8.5	-56.6083
8.6	-55.1792
8.7	-53.59
8.8	-51.8967
8.9	-50.115
9	-48.2844
9.1	-46.4181
9.2	-44.5441
9.3	-42.672
9.4	-40.8204
9.5	-38.9939
9.6	-37.2009
9.7	-35.435
9.8	-33.6843
9.9	-31.9121
10	-30.0497
10.1	-27.9495
10.2	-25.2772
10.3	-21.0656
10.4	-11.3458
10.5	27.3702
10.6	69.1722
10.7	36.808
10.8	57.8944
10.9	28.0627
11	41.5855
11.1	14.4987
11.2	22.6888
11.3	0.119521
11.4	-0.484678
11.5	-19.315
11.6	-28.7257
11.7	-43.814
11.8	-43.449
11.9	-50.7142
12	-46.9022
12.1	-51.4574
12.2	-46.9382
12.3	-50.1783
12.4	-45.6807
12.5	-48.1464
12.6	-43.891
12.7	-45.8301
12.8	-41.8828
12.9	-43.4191
13	-39.7813
13.1	-41.0085
13.2	-37.6764
13.3	-38.6615
13.4	-35.6092
13.5	-36.3764
13.6	-33.5811
13.7	-34.1884
13.8	-31.6482
13.9	-32.1181
14	-29.8139
14.1	-30.232
14.2	-28.2881
14.3	-28.6405
14.4	-26.9014
14.5	-27.095
14.6	-25.4713
14.7	-25.4357
14.8	-23.8324
14.9	-23.4657
15	-21.7174
15.1	-20.772
15.2	-18.4451
15.3	-16.1045
15.4	-11.4866
15.5	-3.81412
15.6	11.4025
15.7	27.2548
15.8	24.8454
15.9	18.4176
16	7.82974
16.1	-1.01383
16.2	-12.0449
16.3	-22.1481
16.4	-31.5458
16.5	-36.8937
16.6	-40.9513
16.7	-42.7647
16.8	-44.4731
16.9	-44.888
17	-45.5361
17.1	-45.3113
17.2	-45.4048
17.3	-44.8595
17.4	-44.6761
17.5	-44.043
17.6	-43.7347
17.7	-43.0536
17.8	-42.6525
17.9	-41.9469
18	-41.4876
18.1	-40.78
18.2	-40.2902
18.3	-39.598
18.4	-39.0997
18.5	-38.4384
18.6	-37.9536
18.7	-37.3356
18.8	-36.8718
18.9	-36.2964
19	-35.8557
19.1	-35.3208
19.2	-34.9034
19.3	-34.4058
19.4	-34.0103
19.5	-33.546
19.6	-33.1697
19.7	-32.7337
19.8	-32.3734
19.9	-31.9606
