t	v
0	-65.9745
0.1	-65.974
0.2	-65.9738
0.3	-65.9735
0.4	-65.9733
0.5	-65.973
0.6	-65.9728
0.7	-65.9726
0.8	-65.9723
0.9	-65.9721
1	-65.9719
1.1	-65.9716
1.2	-65.9714
1.3	-65.9712
1.4	-65.971
1.5	-65.9707
1.6	-65.9705
1.7	-65.9703
1.8	-65.97
1.9	-65.9698
2	-65.9696
2.1	-65.9694
2.2	-65.9691
2.3	-65.9689
2.4	-65.9687
2.5	-65.9684
2.6	-65.9682
2.7	-65.968
2.8	-65.9678
2.9	-65.9675
3	-65.9673
3.1	-65.9671
3.2	-65.9669
3.3	-65.9666
3.4	-65.9664
3.5	-65.9662
3.6	-65.966
3.7	-65.9657
3.8	-65.9655
3.9	-65.9653
4	-65.9651
4.1	-65.9648
4.2	-65.9646
4.3	-65.9644
4.4	-65.9642
4.5	-65.9639
4.6	-65.9637
4.7	-65.9635
4.8	-65.9633
4.9	-65.963
5	-65.9628
5.1	-65.9626
5.2	-65.9624
5.3	-65.9622
5.4	-65.9619
5.5	-65.9617
5.6	-65.9615
5.7	-65.9613
5.8	-65.961
5.9	-65.9608
6	-65.9606
6.1	-65.9604
6.2	-65.9602
6.3	-65.9599
6.4	-65.9597
6.5	-65.9595
6.6	-65.9593
6.7	-65.9591
6.8	-65.9588
6.9	-65.9586
7	-65.9584
7.1	-65.9582
7.2	-65.958
7.3	-65.9577
7.4	-65.9575
7.5	-65.9573
7.6	-65.9571
7.7	-65.9569
7.8	-65.9567
7.9	-65.9564
8	-65.9562
8.1	-65.956
8.2	-65.9558
8.3	-65.9556
8.4	-65.9554
8.5	-65.9551
8.6	-65.9549
8.7	-65.9547
8.8	-65.9545
8.9	-65.9543
9	-65.9541
9.1	-65.9538
9.2	-65.9536
9.3	-65.9534
9.4	-65.9532
9.5	-65.953
9.6	-65.9528
9.7	-65.9525
9.8	-65.9523
9.9	-65.9521
10	-65.9519
10.1	-65.9517
10.2	-65.9515
10.3	-65.9513
10.4	-65.951
10.5	-65.9508
10.6	-65.9506
10.7	-65.9504
10.8	-65.9502
10.9	-65.95
11	-65.9498
11.1	-65.9496
11.2	-65.9493
11.3	-65.9491
11.4	-65.9489
11.5	-65.9487
11.6	-65.9485
11.7	-65.9483
11.8	-65.9481
11.9	-65.9479
12	-65.9476
12.1	-65.9474
12.2	-65.9472
12.3	-65.947
12.4	-65.8251
12.5	-65.6941
12.6	-65.5377
12.7	-65.3771
12.8	-65.2128
12.9	-65.0501
13	-64.8901
13.1	-64.7344
13.2	-64.5834
13.3	-64.4251
13.4	-63.2548
13.5	-59.6824
13.6	-54.2553
13.7	-48.2481
13.8	-41.4506
13.9	-32.6564
14	-20.4349
14.1	-3.72271
14.2	7.91965
14.3	2.67192
14.4	-11.2019
14.5	-24.3269
14.6	-36.9319
14.7	-48.2677
14.8	-55.2889
14.9	-59.3776
15	-61.834
15.1	-63.2884
15.2	-64.1263
15.3	-64.526
15.4	-64.6662
15.5	-64.6467
15.6	-64.5384
15.7	-64.3806
15.8	-64.1986
15.9	-64.0075
16	-63.8165
16.1	-63.631
16.2	-63.4542
16.3	-63.2878
16.4	-63.1324
16.5	-62.988
16.6	-62.8545
16.7	-62.7314
16.8	-62.6179
16.9	-62.5134
17	-62.4172
17.1	-62.3286
17.2	-62.2463
17.3	-62.1666
17.4	-62.0836
17.5	-61.994
17.6	-61.899
17.7	-61.8012
17.8	-61.7035
17.9	-61.6082
18	-61.5167
18.1	-61.43
18.2	-61.3484
18.3	-61.2721
18.4	-61.2005
18.5	-61.1335
18.6	-61.0708
18.7	-61.0125
18.8	-60.9581
18.9	-60.9076
19	-60.8607
19.1	-60.8171
19.2	-60.7767
19.3	-60.7392
19.4	-60.7044
19.5	-60.6722
19.6	-60.6423
19.7	-60.6146
19.8	-60.5889
19.9	-60.5652
