t	v
0	-65.0246
0.1	-65.0246
0.2	-65.0246
0.3	-65.0246
0.4	-65.0246
0.5	-65.0246
0.6	-65.0246
0.7	-65.0246
0.8	-65.0246
0.9	-65.0246
1	-65.0246
1.1	-65.0246
1.2	-65.0246
1.3	-65.0246
1.4	-65.0246
1.5	-65.0246
1.6	-65.0246
1.7	-65.0246
1.8	-65.0246
1.9	-65.0246
2	-65.0246
2.1	-65.0246
2.2	-65.0246
2.3	-65.0246
2.4	-65.0246
2.5	-65.0246
2.6	-65.0246
2.7	-65.0246
2.8	-65.0246
2.9	-65.0246
3	-65.0246
3.1	-65.0246
3.2	-65.0246
3.3	-65.0246
3.4	-65.0246
3.5	-65.0246
3.6	-65.0246
3.7	-65.0246
3.8	-65.0246
3.9	-65.0246
4	-65.0246
4.1	-65.0246
4.2	-65.0246
4.3	-65.0246
4.4	-65.0246
4.5	-65.0246
4.6	-65.0246
4.7	-65.0246
4.8	-65.0246
4.9	-65.0246
5	-65.0246
5.1	-65.0246
5.2	-65.0246
5.3	-65.0246
5.4	-65.0246
5.5	-65.0246
5.6	-65.0246
5.7	-65.0246
5.8	-65.0246
5.9	-65.0246
6	-65.0246
6.1	-65.0246
6.2	-65.0246
6.3	-65.0246
6.4	-65.0246
6.5	-65.0246
6.6	-65.0246
6.7	-65.0246
6.8	-65.0246
6.9	-65.0246
7	-65.0246
7.1	-65.0246
7.2	-65.0246
7.3	-65.0246
7.4	-65.0246
7.5	-65.0246
7.6	-65.0246
7.7	-65.0246
7.8	-65.0246
7.9	-65.0246
8	-65.0246
8.1	-65.0246
8.2	-64.7866
8.3	-64.1419
8.4	-63.1681
8.5	-61.9027
8.6	-60.4055
8.7	-58.7274
8.8	-56.9162
8.9	-55.0144
9	-53.0567
9.1	-51.0711
9.2	-49.0731
9.3	-47.0606
9.4	-44.9912
9.5	-42.7052
9.6	-39.5051
9.7	-32.6643
9.8	-15.956
9.9	23.0479
10	63.1434
10.1	44.6349
10.2	50.0551
10.3	37.0765
10.4	35.732
10.5	26.3831
10.6	22.807
10.7	14.9543
10.8	10.4633
10.9	3.21792
11	-1.97177
11.1	-8.74032
11.2	-14.5515
11.3	-22.5414
11.4	-32.153
11.5	-44.6945
11.6	-54.7996
11.7	-60.8805
11.8	-63.5354
11.9	-64.7423
12	-64.8278
12.1	-64.5062
12.2	-63.7468
12.3	-62.8374
12.4	-61.5089
12.5	-60.5674
12.6	-59.6929
12.7	-59.0288
12.8	-58.4195
12.9	-57.913
13	-57.4399
13.1	-57.0708
13.2	-56.6822
13.3	-56.3402
13.4	-54.5934
13.5	-51.5266
13.6	-49.4551
13.7	-48.3853
13.8	-47.2421
13.9	-44.4509
14	-37.319
14.1	-25.5465
14.2	2.38345
14.3	33.5139
14.4	21.8908
14.5	26.8852
14.6	14.8788
14.7	14.3753
14.8	4.36778
14.9	0.563113
15	-8.19825
15.1	-13.6716
15.2	-23.3985
15.3	-35.257
15.4	-52.0505
15.5	-61.5565
15.6	-65.1217
15.7	-65.4434
15.8	-65.4294
15.9	-64.7572
16	-64.2775
16.1	-63.5447
16.2	-62.9882
16.3	-62.3192
16.4	-61.7791
16.5	-61.193
16.6	-60.6995
16.7	-60.1937
16.8	-59.7555
16.9	-59.3214
17	-58.9377
17.1	-58.5655
17.2	-58.2313
17.3	-57.9475
17.4	-57.846
17.5	-57.8512
17.6	-57.8583
17.7	-57.8382
17.8	-57.8087
17.9	-57.7591
18	-57.7041
18.1	-57.6397
18.2	-57.5731
18.3	-57.5067
18.4	-57.4453
18.5	-57.3859
18.6	-57.329
18.7	-57.274
18.8	-57.2209
18.9	-57.1696
19	-57.1201
19.1	-57.0721
19.2	-57.0258
19.3	-56.9808
19.4	-56.9372
19.5	-56.8948
19.6	-56.8535
19.7	-56.8132
19.8	-56.7739
19.9	-56.7354
