t	v
0	-63.0102
0.1	-63.0102
0.2	-63.0102
0.3	-63.0102
0.4	-63.0102
0.5	-63.0102
0.6	-63.0102
0.7	-63.0102
0.8	-63.0102
0.9	-63.0102
1	-63.0102
1.1	-63.0102
1.2	-63.0102
1.3	-63.0102
1.4	-63.0102
1.5	-63.0102
1.6	-63.0102
1.7	-63.0102
1.8	-63.0102
1.9	-63.0102
2	-63.0102
2.1	-63.0102
2.2	-63.0102
2.3	-63.0102
2.4	-63.0102
2.5	-63.0102
2.6	-63.0102
2.7	-63.0102
2.8	-63.0102
2.9	-63.0102
3	-63.0102
3.1	-63.0102
3.2	-63.0102
3.3	-63.0102
3.4	-63.0102
3.5	-63.0102
3.6	-63.0102
3.7	-63.0102
3.8	-63.0102
3.9	-63.0102
4	-63.0102
4.1	-63.0102
4.2	-63.0102
4.3	-63.0102
4.4	-63.0102
4.5	-63.0102
4.6	-63.0102
4.7	-63.0102
4.8	-63.0102
4.9	-63.0102
5	-63.0102
5.1	-63.0102
5.2	-63.0102
5.3	-63.0102
5.4	-63.0102
5.5	-63.0102
5.6	-63.0102
5.7	-63.0102
5.8	-63.0102
5.9	-63.0102
6	-63.0102
6.1	-63.0102
6.2	-63.0102
6.3	-63.0102
6.4	-63.0102
6.5	-63.0102
6.6	-63.0102
6.7	-63.0102
6.8	-63.0102
6.9	-63.0102
7	-63.0102
7.1	-63.0102
7.2	-63.0102
7.3	-63.0102
7.4	-63.0102
7.5	-63.0102
7.6	-63.0102
7.7	-63.0102
7.8	-63.0102
7.9	-63.0102
8	-63.0102
8.1	-63.0102
8.2	-62.9464
8.3	-62.6722
8.4	-62.0935
8.5	-61.2102
8.6	-60.0599
8.7	-58.6982
8.8	-57.1823
8.9	-55.5661
9	-53.896
9.1	-52.2098
9.2	-50.5353
9.3	-48.8884
9.4	-47.268
9.5	-45.6425
9.6	-43.9226
9.7	-41.9246
9.8	-39.3453
9.9	-35.75
10	-30.5084
10.1	-22.4822
10.2	-9.16537
10.3	16.8851
10.4	40.6587
10.5	42.1205
10.6	42.251
10.7	40.0947
10.8	37.0897
10.9	33.3671
11	29.1379
11.1	24.7068
11.2	19.9469
11.3	15.1211
11.4	10.1388
11.5	5.16565
11.6	0.163363
11.7	-4.702
11.8	-9.40301
11.9	-13.9423
12	-18.3393
12.1	-22.5949
12.2	-26.6447
12.3	-30.426
12.4	-33.8159
12.5	-36.7299
12.6	-39.1146
12.7	-41.0222
12.8	-42.5008
12.9	-43.645
13	-44.5135
13.1	-45.8205
13.2	-46.8506
13.3	-47.8009
13.4	-48.3655
13.5	-48.113
13.6	-46.6595
13.7	-45.0232
13.8	-43.7214
13.9	-42.6272
14	-41.6844
14.1	-40.9542
14.2	-40.3579
14.3	-39.9531
14.4	-39.6545
14.5	-39.4951
14.6	-39.4024
14.7	-39.3976
14.8	-39.425
14.9	-39.5022
15	-39.5875
15.1	-39.698
15.2	-39.8029
15.3	-39.9193
15.4	-40.0238
15.5	-40.1333
15.6	-40.2293
15.7	-40.3279
15.8	-40.4137
15.9	-40.5016
16	-40.5786
16.1	-40.658
16.2	-40.7284
16.3	-40.8019
16.4	-40.8681
16.5	-40.938
16.6	-41.0021
16.7	-41.0703
16.8	-41.134
16.9	-41.202
17	-41.2665
17.1	-41.3353
17.2	-42.0896
17.3	-42.8275
17.4	-43.6064
17.5	-44.2342
17.6	-44.8199
17.7	-45.2763
17.8	-45.6949
17.9	-46.0189
18	-46.3205
18.1	-46.5551
18.2	-46.7804
18.3	-46.9584
18.4	-47.1351
18.5	-47.2769
18.6	-47.4223
18.7	-47.541
18.8	-47.6658
18.9	-47.7696
19	-47.881
19.1	-47.9752
19.2	-48.0776
19.3	-48.1656
19.4	-48.262
19.5	-48.346
19.6	-48.4383
19.7	-48.5198
19.8	-48.6094
19.9	-48.6893
