t	v
0	-70.5653
0.1	-70.565
0.2	-70.5647
0.3	-70.5644
0.4	-70.5641
0.5	-70.5638
0.6	-70.5634
0.7	-70.5631
0.8	-70.5628
0.9	-70.5625
1	-70.5622
1.1	-70.5619
1.2	-70.5616
1.3	-70.5613
1.4	-70.561
1.5	-70.5607
1.6	-70.5604
1.7	-70.5601
1.8	-70.5598
1.9	-70.5595
2	-70.5592
2.1	-70.5589
2.2	-70.5586
2.3	-70.5583
2.4	-70.558
2.5	-70.5577
2.6	-70.5574
2.7	-70.5571
2.8	-70.5568
2.9	-70.5565
3	-70.5562
3.1	-70.5559
3.2	-70.5556
3.3	-70.5553
3.4	-70.555
3.5	-70.5548
3.6	-70.5545
3.7	-70.5542
3.8	-70.5539
3.9	-70.5536
4	-70.5533
4.1	-70.553
4.2	-70.5527
4.3	-70.5524
4.4	-70.5521
4.5	-70.5518
4.6	-70.5515
4.7	-70.5512
4.8	-70.5509
4.9	-70.5506
5	-70.5503
5.1	-70.55
5.2	-70.5498
5.3	-70.5495
5.4	-70.5492
5.5	-70.5489
5.6	-70.5486
5.7	-70.5483
5.8	-70.548
5.9	-70.5477
6	-70.5474
6.1	-70.5471
6.2	-70.5468
6.3	-70.5466
6.4	-70.5463
6.5	-70.546
6.6	-70.5457
6.7	-70.5454
6.8	-70.5451
6.9	-70.5448
7	-70.5445
7.1	-70.5442
7.2	-70.544
7.3	-70.5437
7.4	-70.5434
7.5	-70.5431
7.6	-70.5428
7.7	-70.5425
7.8	-70.5422
7.9	-70.542
8	-70.5417
8.1	-70.5414
8.2	-70.0745
8.3	-68.7505
8.4	-66.6963
8.5	-64.0143
8.6	-60.8574
8.7	-57.3607
8.8	-53.6398
8.9	-49.7348
9	-45.4619
9.1	-39.9521
9.2	-30.0239
9.3	-4.44422
9.4	37.5159
9.5	41.0595
9.6	42.7184
9.7	39.1358
9.8	37.1912
9.9	32.7598
10	29.6315
10.1	24.9012
10.2	21.3376
10.3	16.7275
10.4	13.2142
10.5	9.04969
10.6	5.90765
10.7	2.37822
10.8	-0.233459
10.9	-3.07511
11	-5.12835
11.1	-7.32632
11.2	-8.87069
11.3	-10.515
11.4	-11.6308
11.5	-12.8231
11.6	-13.595
11.7	-14.4308
11.8	-14.9366
11.9	-15.4989
12	-15.8059
12.1	-16.1647
12.2	-16.3283
12.3	-16.5414
12.4	-17.5017
12.5	-18.8587
12.6	-20.2395
12.7	-21.5812
12.8	-22.6804
12.9	-23.6368
13	-24.3393
13.1	-25.1235
13.2	-25.6361
13.3	-26.0909
13.4	-26.2622
13.5	-26.2294
13.6	-25.8849
13.7	-25.4378
13.8	-24.8485
13.9	-24.2619
14	-23.6899
14.1	-23.4478
14.2	-23.5292
14.3	-23.8241
14.4	-24.1934
14.5	-24.5957
14.6	-24.9535
14.7	-25.269
14.8	-25.5014
14.9	-25.6687
15	-25.7472
15.1	-25.7584
15.2	-25.6878
15.3	-25.5555
15.4	-25.3528
15.5	-25.0977
15.6	-24.7859
15.7	-24.4357
15.8	-24.0463
15.9	-23.6335
16	-23.2027
16.1	-22.7687
16.2	-22.3376
16.3	-21.9243
16.4	-21.5336
16.5	-21.1784
16.6	-20.8603
16.7	-20.5871
16.8	-20.3586
16.9	-20.1765
17	-20.0369
17.1	-19.9385
17.2	-19.8762
17.3	-19.9035
17.4	-20.3276
17.5	-21.2527
17.6	-22.3402
17.7	-23.5282
17.8	-24.6738
17.9	-25.7661
18	-26.7439
18.1	-27.62
18.2	-28.3673
18.3	-29.0038
18.4	-29.5192
18.5	-29.9363
18.6	-30.2481
18.7	-30.4695
18.8	-30.5925
18.9	-30.6247
19	-30.558
19.1	-30.3951
19.2	-30.1263
19.3	-29.7489
19.4	-29.2517
19.5	-28.6277
19.6	-27.8643
19.7	-26.9543
19.8	-25.8916
19.9	-24.6819
